ID;TERMS (PT-NPT);RELATIONS;PT;MT
434966;AAU;USE;certificat de emisii;5206 politica mediului înconjurător
c_047e5912;ABE;USE;Autoritatea bancară europeană;1006 Instituțiile Uniunii Europene și funcția publică europeană
8284;ACCP;USE;Agenția Europeană pentru Controlul Pescuitului;1006 Instituțiile Uniunii Europene și funcția publică europeană
6260;ADN;;;3606 ştiinţe naturale şi aplicate
c_f5ed5adb;AEAPO;USE;Autoritatea europeană pentru asigurări și pensii ocupaționale;1006 Instituțiile Uniunii Europene și funcția publică europeană
8284;AECP;USE;Agenția Europeană pentru Controlul Pescuitului;1006 Instituțiile Uniunii Europene și funcția publică europeană
428;AEEN;USE;Agenția pentru Energie Nucleară;7621 organizaţii mondiale
176;AELS;;;7611 organizaţii europene
5310;AEM;USE;Agenția Europeană de Mediu;1006 Instituțiile Uniunii Europene și funcția publică europeană
428;AEN;USE;Agenția pentru Energie Nucleară;7621 organizaţii mondiale
7927;AEPD;USE;Autoritatea Europeană pentru Protecția Datelor;1006 Instituțiile Uniunii Europene și funcția publică europeană
7221;AER;USE;Agenția Europeană pentru Reconstrucție;1006 Instituțiile Uniunii Europene și funcția publică europeană
7937;AESA;USE;Agenția Europeană de Siguranță a Aviației;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_96124aaf;AEVMP;USE;Autoritatea europeană pentru valori mobiliare și piețe;1006 Instituțiile Uniunii Europene și funcția publică europeană
7985;AFE;USE;Agenția Uniunii Europene pentru Căile Ferate;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_dcc650ef;AFIA;USE;fond de investiții alternative;2416 instituţii financiare şi de credit
703;AID;USE;Asociația Internațională de Dezvoltare;7606 ONU
1024;AIE;USE;Agenția Internațională a Energiei;7621 organizaţii mondiale
1034;AIEA;USE;Agenția Internațională pentru Energie Atomică;7621 organizaţii mondiale
1044;AISS;USE;Asociația Internațională a Securității Sociale;7626 organizaţii neguvernamentale
1094;ALADI;;;7616 organizaţii extraeuropene
8375;AMGI;USE;Agenția Multilaterală pentru Garantarea Investițiilor;7606 ONU
1838;ANASE;USE;ASEAN;7616 organizaţii extraeuropene
6131;APEC;USE;Organizația de Cooperare Economică Asia-Pacific;7616 organizaţii extraeuropene
6131;APEC;USE;Organizația de Cooperare Economică Asia-Pacific;7621 organizaţii mondiale
c_896e199b;ARC;USE;rating de credit;2416 instituţii financiare şi de credit
1838;ASEAN;;;7616 organizaţii extraeuropene
120;ASPAC;USE;Consiliul Asia-Pacific;7616 organizaţii extraeuropene
3248;ATM;USE;servicii bancare electronice;2416 instituţii financiare şi de credit
4034;AUE;USE;Actul Unic European;1011 dreptul Uniunii Europene
5075;Abruzzi;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_9fe65404;Academia Internațională Anticorupție;;;7621 organizaţii mondiale
5406;Acord European de Asociere;;;1016 construcţie europeană
1195;Acord European privind Transportul Rutier Internațional al Produselor Periculoase;;;4816 transport terestru
4437;Acord Monetar European;;;2406 relaţii monetare
3509;Acordul ABM;;;0816 securitate internațională
5401;Acordul ATP;;;4811 organizarea transporturilor
1858;Acordul Bretton Woods;;;2406 relaţii monetare
6115;Acordul General privind Comerțul cu Servicii;USE;GATS;2021 comerţ internaţional
2949;Acordul MBFR;USE;reducerea forțelor militare;0816 securitate internațională
5430;Acordul Nord American de Comerț Liber;USE;NAFTA;7616 organizaţii extraeuropene
5405;Acordul Schengen;;;1231 drept internaţional
7185;Acordul central european de comerț liber;USE;CEFTA;7611 organizaţii europene
7185;Acordul central european de liber schimb;USE;CEFTA;7611 organizaţii europene
1190;Acordul de la Cartagena;USE;Grupul Andin;7616 organizaţii extraeuropene
7813;Acordul de la Cotonou;;;1016 construcţie europeană
2328;Acquitania;;;7211 regiuni ale statelor membre ale Uniunii Europene
4034;Actul Unic European;;;1011 dreptul Uniunii Europene
434786;Adaptarea la schimbările climatice;;;5206 politica mediului înconjurător
5132;Adunare Consultativă ACP-CE ;USE;Adunare parlamentară paritară ACP-UE;1016 construcţie europeană
5132;Adunare comună ACP-CE;USE;Adunare parlamentară paritară ACP-UE;1016 construcţie europeană
5132;Adunare parlamentară paritară ACP-UE;;;1016 construcţie europeană
2885;Adunarea Generală ONU;;;7606 ONU
2885;Adunarea Generală a Organizației Națiunilor Unite;USE;Adunarea Generală ONU;7606 ONU
2243;Adunarea Parlamentară Europeană;USE;Parlamentul European;1006 Instituțiile Uniunii Europene și funcția publică europeană
261;Afganistan;;;7226 Asia şi Oceania
281;Africa;;;7221 Africa
302;Africa Centrală;;;7221 Africa
302;Africa Ecuatorială;USE;Africa Centrală;7221 Africa
342;Africa Meridională;;;7221 Africa
5424;Africa Subsahariană;;;7221 Africa
291;Africa anglofonă;;;7221 Africa
357;Africa de Est;;;7221 Africa
311;Africa de Nord;;;7221 Africa
321;Africa de Sud;;;7221 Africa
321;Africa de Sud;;;7231 geografie economică
351;Africa de Vest;;;7221 Africa
332;Africa francofonă;;;7221 Africa
5423;Africa vorbitoare de limbă portugheză;;;7221 Africa
7985;Agenţia Europeană a Căilor Ferate;USE;Agenția Uniunii Europene pentru Căile Ferate;1006 Instituțiile Uniunii Europene și funcția publică europeană
8439;Agenţia Europeană pentru Gestionarea Cooperării Operative la Frontierele Externe ale Statelor Membre ale Uniunii Europene;USE;Frontex;1006 Instituțiile Uniunii Europene și funcția publică europeană
5427;Agenţia Europeană pentru Sănătate şi Securitate în Muncă;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
441001;Agenţia Executivă a Consiliului European pentru Cercetare;USE;agenție executivă;1006 Instituțiile Uniunii Europene și funcția publică europeană
441001;Agenţia Executivă pentru Cercetare;USE;agenție executivă;1006 Instituțiile Uniunii Europene și funcția publică europeană
441001;Agenţia Executivă pentru Competitivitate şi Inovare;USE;agenție executivă;1006 Instituțiile Uniunii Europene și funcția publică europeană
