MSD;Features;Lexical entries;Examples of usage
Nc---n;Noun Type=common Definiteness=no;38;zgârie-nori, zgârie-brânză, vântură-ţară, vântură-lume, una_cu_pământul
Nc-s-ny;Noun Type=common Number=singular Definiteness=no Clitic=yes;4;fii-/fiu, fii-/fiică, bunică-/bunic, bunică-/bunică
Ncm--n;Noun Type=common Gender=masculine Definiteness=no;43;zgripţoroi, tremurici, trăgaci, tei, tălmaci, răţoi, poliţai
Ncms-n;Noun Type=common Gender=masculine Number=singular Definiteness=no;8183;zvon, zvonit, zvârlit, zvârcolit, zvântat, zvâcnit, zvâcnet, zuruit
Ncms-ny;Noun Type=common Gender=masculine Number=singular Definiteness=no Clitic=yes;45;tim'/timp, sem'/semn, -nvins/învins, -nvingător/învingător, -nveliş/înveliş
Ncmsvn;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no;11;urcior/ulcior, tovarăşe/tovarăş, sindicalist, prietene/prieten
Ncmsvny;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=no Clitic=yes;1;-mpărate/împărat
Ncmsvy;Noun Type=common Gender=masculine Number=singular Case=vocative Definiteness=yes;2124;zvonule/zvon, zvonitule/zvonit, zvârcolitule/zvârcolit, zvâcnitule/zvâcnit
Ncmsry;Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes;7943;zvonul/zvon, zvonitul/zvonit, zvârlitul/zvârlit, zvârcolitul/zvârcolit
Ncmsryy;Noun Type=common Gender=masculine Number=singular Case=direct Definiteness=yes Clitic=yes;77;visu'/vis, următoru'/următorul, trotuaru'/trotuar, tipu'/tip
Ncmsoy;Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes;7852;zvonului/zvon, zvonitului/zvonit, zvârlitului/zvârlit, zvârcolitului/zvârcolit
Ncmsoyy;Noun Type=common Gender=masculine Number=singular Case=oblique Definiteness=yes Clitic=yes;40;-nvinsului/învins, -nvingătorului/învingător, -nvelişului/înveliş
Ncmp-n;Noun Type=common Gender=masculine Number=plural Definiteness=no;3440;zulufi/zuluf, zugravi/zugrav, zori, zootehnicieni/zootehnician
Ncmp-ny;Noun Type=common Gender=masculine Number=plural Definiteness=no Clitic=yes;20;-nvinşi/învins, -nvingători/învingător, -nvăţători/învăţător
Ncmpvy;Noun Type=common Gender=masculine Number=plural Case=vocative Definiteness=yes;8;nenorociţilor/nenorocit, nefericiţilor/nefericit, mânuitorilor/mânuitor
Ncmpry;Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes;3401;zulufii/zuluf, zugravii/zugrav, zorii/zori, zootehnicienii/zootehnician
Ncmpryy;Noun Type=common Gender=masculine Number=plural Case=direct Definiteness=yes Clitic=yes;20;-nvinşii/învins, -nvingătorii/învingător, -nvăţătorii/învăţător
Ncmpoy;Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes;3404;zulufilor/zuluf, zugravilor/zugrav, zootehnicienilor/zootehnician
Ncmpoyy;Noun Type=common Gender=masculine Number=plural Case=oblique Definiteness=yes Clitic=yes;20;-nvinşilor/învins, -nvingătorilor/învingător, -nvăţătorilor/învăţător
Ncf--n;Noun Type=common Gender=feminine Definiteness=no;320;ziditoare, zeie, zeflemitoare, zdrobitoare, zburătoare, zămislitoare
Ncf--ny;Noun Type=common Gender=feminine Definiteness=no Clitic=yes;3;-nvăţătoare/învăţătoare, -nsoţitoare/însoţitoare, -ngrijitoare/îngrijitoare
Ncfs-n;Noun Type=common Gender=feminine Number=singular Definiteness=no;3;soia, sete, foame
Ncfsvy;Noun Type=common Gender=feminine Number=singular Case=vocative Definiteness=yes;3376;zvonireo/zvonire, zvârcolireo/zvârcolire, zvâcnireo/zvâcnire
Ncfsrn;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no;9843;zvonistică, zvonire, zvârlitură, zvârlire, zvârcolire, zvârcoleală
Ncfsrny;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=no Clitic=yes;162;-nvrăjbire/învrăjbire, -nvoire/învoire, -nvoială/învoială, -nviere/înviere
Ncfsry;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes;10112;zvonistica/zvonistică, zvonirea/zvonire, zvârlitura/zvârlitură
Ncfsryy;Noun Type=common Gender=feminine Number=singular Case=direct Definiteness=yes Clitic=yes;164;-nvrăjbirea/învrăjbire, -nvoirea/învoire, -nvoiala/învoială, -nvierea/înviere
Ncfson;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no;9567;zvonistici/zvonistică, zvoniri/zvonire, zvârlituri/zvârlitură
Ncfsony;Noun Type=common Gender=feminine Number=singular Case=oblique Definiteness=no Clitic=yes;160;-nvrăjbiri/învrăjbire, -nvoiri/învoire, -nvoieli/învoială, -nvieri/înviere
